Words			Original Roots		Predicted roots
से		से			से
'		SINGLE_QUOTE			UUUUUUUUUUUUUUUUUU
एक		एक			एक
उपयुक्त		उपयुक्त			उपयुक्त
व्यवस्था		व्यवस्था			व्यवस्था
या		या			या
प्रोटोकॉल		प्रोटोकॉल			प्रटटोकॉल
'		SINGLE_QUOTE			UUUUUUUUUUUUUUUUUU
स्थापित		स्थापित			स्थापित
करने		कर			कर
को		को			को
कहा		कह			कह
है		है			है
।		।			।
प्रत्यर्पण		प्रत्यर्पण			प्रत्यर्पण
संधि		संधि			संधि
और		और			और
आपराधिक		आपराधिक			आपराधिक
मामलों		मामला			मामला
में		में			में
परस्पर		परस्पर			परस्पर
कानूनी		कानूनी			कानूनी
सहायता		सहायता			सहायता
पर		पर			पर
समझौते		समझौता			समझौता
के		के			का
लिए		लिए			लिए
भारत		भारत			भारत
द्वारा		द्वारा			द्वारा
जोर		जोर			जोर
दिए		दे			दे
जाने		जा			जा
के		के			का
बाद		बाद			बाद
बांग्लादेश		बांग्लादेश			बांग्लादेश
इन		यह			यह
प्रस्तावों		प्रस्ताव			प्रस्ताव
पर		पर			पर
विचार		विचार			विचार
करने		कर			कर
को		को			को
राजी		राजी			राजी
हो		हो			हो
गया		जा			जा
है		है			है
।		।			।
दोनों		दो			दो
पक्ष		पक्ष			पक्ष
एक		एक			एक
-		-			-
दूसरे		दूसरा			दूसरा
के		का			का
यहाँ		यहाँ			यहाँ
पकड़े		पकड			पकड़
गए		जा			जा
अपराधियों		अपराधी			अपराधी
को		को			को
अपने		अपना			अपना
देश		देश			देश
के		का			का
दूतावास		दूतावास			दूतावास
के		का			का
अधिकारियों		अधिकारी			अधिकारी
से		से			से
मिलने		मिल			मिल
की		का			का
इजाज़त		इजाजत			इजाज़
देने		दे			दे
पर		पर			पर
राजी		राजी			राजी
हो		हो			हो
गए		जा			जा
हैं		है			है
।		।			।
दोनों		दो			दो
देशों		देश			देश
के		के			का
बीच		बीच			बीच
दो		दो			दो
दिनी		दिनी			दिन
सचिव		सचिव			सचिव
स्तरीय		स्तरीय			स्तरीय
बैठक		बैठक			बैठक
शनिवार		शनिवार			शनिवार
को		को			को
खत्म		खत्म			खत्म
हुई		हो			हो
।		।			।
इस		यह			यह
मौके		मौका			मौका
पर		पर			पर
दोनों		दो			दो
पक्षों		पक्ष			पक्ष
ने		ने			ने
सुरक्षा		सुरक्षा			सुरक्षा
संबंधी		संबंधी			संबंधी
मुद्दों		मुद्दा			मुद्दा
और		और			और
गिरफ्तार		गिरफ्तार			गिरफ्तार
अपराधियों		अपराधी			अपराधी
को		को			को
उच्चायोग		उच्चायोग			उच्चायोग
के		का			का
अधिकारियों		अधिकारी			अधिकारी
से		से			से
मिलने		मिल			मिल
की		का			का
इजाज़त		इजाज़त			इजाज़
देने		दे			दे
पर		पर			पर
राजी		राजी			राजी
होते		हो			हो
हुए		हो			हो
एक		एक			एक
संयुक्त		संयुक्त			संयुक्त
घोषणा		घोषणा			घोषणा
-		-			-
जारी		जारी			जारी
की		कर			का
।		।			।
बयान		बयान			बयान
पर		पर			पर
बांग्लादेश		बांग्लादेश			बांग्लादेश
के		का			का
गृह		गृह			गृह
सचिव		सचिव			सचिव
सरफराज़		सरफराज़			सरफराज़
हुसैन		हुसैन			हुसैन
के		के			का
साथ		साथ			साथ
दस्तखत		दस्तखत			दस्तखत
करने		कर			कर
वाले		वाला			वाला
भारतीय		भारतीय			भारतीय
गृह		गृह			गृह
सचिव		सचिव			सचिव
वी.		वी.			वी.
के.		के.			के.
दुग्गल		दुग्गल			दुग्गल
ने		ने			ने
कहा		कह			कह
कि		कि			कि
दोनों		दो			दो
पक्षों		पक्ष			पक्ष
ने		ने			ने
अपने		अपना			अपना
राष्ट्रीय		राष्ट्रीय			राष्ट्रीय
हितों		हित			हित
को		को			को
बरकरार		बरकरार			बरकरार
रखते		रख			रख
हुए		हो			हो
सहयोग		सहयोग			सहयोग
की		का			का
भावना		भावना			भावना
से		से			से
सौहार्दपूर्ण		सौहार्दपूर्ण			सौहार्दपूर्ण
माहौल		माहौल			माहौल
में		में			में
बात		बात			बात
-		-			-
चीत		चीत			चीत
की		कर			का
।		।			।
दोनों		दो			दो
देशों		देश			देश
के		के			का
बीच		बीच			बीच
समानताओं		समानता			समानता
का		का			का
जिक्र		जिक्र			जिक्र
करते		कर			कर
हुए		हो			हो
हुसैन		हुसैन			हुसैन
ने		ने			ने
कहा		कह			कह
कि		कि			कि
ढाका		ढाका			ढाका
को		को			को
आगामी		आगामी			आगामी
सार्क		सार्क			सार्क
सम्मेलन		सम्मेलन			सम्मेलन
के		के			का
लिए		लिए			लिए
भारत		भारत			भारत
के		का			का
प्रधानमंत्री		प्रधानमंत्री			प्रधानमंत्री
मनमोहन		मनमोहन			मनमोहन
सिंह		सिंह			सिंह
की		का			का
यात्रा		यात्रा			यात्रा
का		का			का
इंतजार		इंतजार			इंतजार
रहेगा		रह			रह
।		।			।
हुसैन		हुसैन			हुसैन
ने		ने			ने
संयुक्त		संयुक्त			संयुक्त
बयान		बयान			बयान
पढ़ा		पढ़			पढ़ा
लेकिन		लेकिन			लेकिन
किसी		कोई			कोई
भी		भी			भी
पक्ष		पक्ष			पक्ष
ने		ने			ने
मीडिया		मीडिया			मीडिया
के		का			का
सवालों		सवाल			सवाल
का		का			का
जवाब		जवाब			जवाब
नहीं		नहीं			नहीं
दिया		दे			दे
।		।			।
बात		बात			बात
-		-			-
चीत		चीत			चीत
के		के			का
दौरान		दौरान			दौरान
बांग्लादेश		बांग्लादेश			बांग्लादेश
ने		ने			ने
स्पष्ट		स्पष्ट			स्पष्ट
किया		कर			कर
कि		कि			कि
उनके		वह			वह
यहाँ		यहाँ			यहाँ
अगस्त		अगस्त			अगस्त
में		में			में
हुए		हो			हो
विस्फोट		विस्फोट			विस्फोट
में		में			में
भारत		भारत			भारत
की		का			का
कथित		कथित			कथित
लिता		लिता			लिता
की		का			का
मीडिया		मीडिया			मीडिया
की		का			का
रिपोर्ट		रिपोर्ट			रिपोर्ट
वास्तव		वास्तव			वास्तव
में		में			में
उसकी		वह			वह
सरकार		सरकार			सरकार
के		का			का
पक्ष		पक्ष			पक्ष
को		को			को
उजागर		उजागर			उजागर
नहीं		नहीं			नहीं
करती		कर			कर
।		।			।
मामले		मामला			मामला
की		का			का
जाँच		जाँच			जाँच
चल		चल			चल
रही		रह			रह
है		है			है
।		।			।
बयान		बयान			बयान
में		में			में
कहा		कह			कह
गया		जा			जा
है		है			है
कि		कि			कि
दोनों		दो			दो
पक्ष		पक्ष			पक्ष
हथियारों		हथियार			हथियार
और		और			और
विस्फोटकों		विस्फोटक			विस्फोटक
की		का			का
तस्करी		तस्करी			तस्करी
रोकने		रोक			रोक
पर		पर			पर
राजी		राजी			राजी
हो		हो			हो
गए		जा			जा
हैं		है			है
।		।			।
सीमा		सीमा			सीमा
पर		पर			पर
बाड़बंदी		बाड़बंदी			बाड़बंदी
के		का			का
मसले		मसला			मसला
पर		पर			पर
ढाका		ढाका			ढाका
ने		ने			ने
नई		नया			नयाााााााााााााााा
दिल्ली		दिल्ली			दिल्ली
से		से			से
उन		वह			वह
स्थानों		स्थान			स्थान
की		का			का
विस्तृत		विस्तृत			विस्तृत
जानकारी		जानकारी			जानकारी
उपलब्ध		उपलब्ध			उपलब्ध
कराने		करा			करा
को		को			को
कहा		कह			कह
,		COMMA			UNNNNNNNNNNNNNNNNN
जहाँ		जहाँ			जहाँ
सीमा		सीमा			सीमा
के		का			का
150		150			150
गज		गज			गज
के		के			का
अंदर		अंदर			अंदर
बाड़बंदी		बाड़बंदी			बाड़बंदी
की		कर			का
जानी		जा			जा
है		है			है
।		।			।
दोनों		दो			दो
पक्षों		पक्ष			पक्ष
ने		ने			ने
नशीले		नशीला			नशीला
पदार्थों		पदार्थ			पदार्थ
की		का			का
तस्करी		तस्करी			तस्करी
रोकने		रोक			रोक
के		के			का
लिए		लिए			लिए
शीघ्र		शीघ्र			शीघ्र
समझौते		समझौता			समझौता
की		का			का
जरूरत		जरूरत			जरूरत
पर		पर			पर
जोर		जोर			जोर
दिया		दे			दे
।		।			।
सीमापारीय		सीमापारीय			सीमापारीय
अपराधों		अपराध			अपराध
को		को			को
रोकने		रोक			रोक
के		के			का
लिए		लिए			लिए
भी		भी			भी
दोनों		दो			दो
पक्ष		पक्ष			पक्ष
सीमा		सीमा			सीमा
पर		पर			पर
निगरानी		निगरानी			निगरानी
बढ़ाने		बढ़ा			बढा
और		और			और
कार्रवाई		कार्रवाई			कार्रवाई
करने		कर			कर
पर		पर			पर
राजी		राजी			राजी
हुए		हो			हो
।		।			।
सुरक्षा		सुरक्षा			सुरक्षा
बलों		बल			बल
को		को			को
भाजपा		भाजपा			भाजपा
और		और			और
विहिप		विहिप			विहिप
के		का			का
बंद		बंद			बंद
के		के			का
मद्देनजर		मद्देनजर			मद्देनजर
भी		भी			भी
सतर्क		सतर्क			सतर्क
रहने		रह			रह
को		को			को
कहा		कह			कह
गया		जा			जा
है		है			है
।		।			।
दिल्ली		दिल्ली			दिल्ली
में		में			में
झंडेवाला		झंडेवाला			झंडेवाला
स्थित		स्थित			स्थित
आरएसएस		आरएसएस			आरएसएस
के		का			का
मुख्यालय		मुख्यालय			मुख्यालय
और		और			और
मंदिरों		मंदिर			मंदिर
के		के			का
नजदीक		नजदीक			नजदीक
सुरक्षा		सुरक्षा			सुरक्षा
बढ़ा		बढ़ा			बढ़ा
दी		दे			दे
गई		जा			जा
है		है			है
।		।			।
बाबरी		बाबरी			बाबरी
मस्जिद		मस्जिद			मस्जिद
विध्वंस		विध्वंस			विध्वंस
के		के			का
बाद		बाद			बाद
सांप्रदायिक		सांप्रदायिक			सांप्रदायिक
दंगों		दंगा			दंगा
की		का			का
मार		मार			मार
झेल		झेल			झेल
चुके		चुक			चुक
मुंबई		मुंबई			मुंबई
में		में			में
भी		भी			भी
एहतियात		एहतियात			एहतियात
बरता		बरत			बर
जा		जा			जा
रहा		रह			रह
है		है			है
।		।			।
पुलिस		पुलिस			पुलिस
कमिश्नर		कमिश्नर			कमिश्नर
एन.		एन.			एन.
रॉय		रॉय			रॉय
ने		ने			ने
बताया		बता			बता
कि		कि			कि
मंदिरों		मंदिर			मंदिर
और		और			और
धार्मिक		धार्मिक			धार्मिक
स्थलों		स्थल			स्थल
के		के			का
आसपास		आसपास			आसपास
सुरक्षा		सुरक्षा			सुरक्षा
के		का			का
विशेष		विशेष			विशेष
इंतजाम		इंतजाम			इंतजाम
किए		कर			कर
गए		जा			जा
हैं		है			है
।		।			।
भाभा		भाभा			भाभा
एटॉमिक		एटॉमिक			एटॉमिक
रिसर्च		रिसर्च			रिसर्च
सेंटर		सेंटर			सेंटर
समेत		समेत			समेत
सभी		सभी			सभी
संवेदनशील		संवेदनशील			संवेदनशील
सरकारी		सरकारी			सरकारी
प्रतिष्ठानों		प्रतिष्ठान			प्रतिष्ठान
में		में			में
सुरक्षा		सुरक्षा			सुरक्षा
बढ़ा		बढ़ा			बढ़ा
दी		दे			दे
गई		जा			जा
है		है			है
और		और			और
पुलिस		पुलिस			पुलिस
ने		ने			ने
गश्त		गश्त			गश्त
बढ़ा		बढ़ा			बढ़ा
दी		दे			दे
है		है			है
।		।			।
राज्य		राज्य			राज्य
के		का			का
पुलिस		पुलिस			पुलिस
प्रमुख		प्रमुख			प्रमुख
एके		एके			एके
भार्गव		भार्गव			भार्गव
ने		ने			ने
बताया		बता			बता
कि		कि			कि
सभी		सभी			सभी
कमिश्नरों		कमिश्नर			कमिश्नर
और		और			और
जिला		जिला			जिला
पुलिस		पुलिस			पुलिस
प्रमुखों		प्रमुख			प्रमुख
को		को			को
एहतियात		एहतियात			एहतियात
बरतने		बरत			बरत
के		का			का
निर्देश		निर्देश			निर्देश
दिए		दे			दे
गए		जा			जा
हैं		है			है
।		।			।
सूरत		सूरत			सूरत
में		में			में
जहां		जहाँ			जहाँ
आज		आज			आज
आरएसएस		आरएसएस			आरएसएस
की		का			का
बैठक		बैठक			बैठक
संपन्न		संपन्न			संपन्न
हुई		हो			हो
,		COMMA			UNNNNNNNNNNNNNNNNN
सुरक्षा		सुरक्षा			सुरक्षा
बढ़ा		बढ़ा			बढ़ा
दी		दे			दे
गई		जा			जा
।		।			।
कोलकाता		कोलकाता			कोलकाता
में		में			में
पश्चिम		पश्चिम			पश्चिम
बंगाल		बंगाल			बंगाल
के		का			का
मुख्यमंत्री		मुख्यमंत्री			मुख्यमंत्री
बुद्धदेव		बुद्धदेव			बुद्धदेव
भट्टाचार्य		भट्टाचार्य			भट्टाचार्य
ने		ने			ने
अयोध्या		अयोध्या			अयोध्या
में		में			में
हुए		हो			हो
हमले		हमला			हमला
की		का			का
निंदा		निंदा			निंदा
करते		कर			कर
हुए		हो			हो
बताया		बता			बता
कि		कि			कि
पूरे		पूरा			पूरा
राज्य		राज्य			राज्य
में		में			में
सतर्कता		सतर्कता			सतर्कता
बढ़ा		बढ़ा			बढ़ा
दी		दे			दे
गई		जा			जा
है		है			है
।		।			।
कोलकाता		कोलकाता			कोलकाता
के		का			का
एनएससी		एनएससी			एनएससी
बोस		बोस			बोस
हवाई		हवाई			हवाई
अड्डे		अड्डा			अड्डा
में		में			में
रेड		रेड			रेड
अलर्ट		अलर्ट			अलर्ट
घोषित		घोषित			घोषित
किया		कर			कर
गया		जा			जा
है		है			है
।		।			।
तमिलनाडु		तमिलनाडु			तमिलनाडु
के		का			का
पुलिस		पुलिस			पुलिस
महानिदेशक		महानिदेशक			महानिदेशक
एएक्स		एएक्स			एएक्स
एलेक्जेंडर		एलेक्जेंडर			एलेक्जेंडर
ने		ने			ने
बताया		बता			बता
कि		कि			कि
राज्य		राज्य			राज्य
में		में			में
स्थिति		स्थिति			स्थिति
शांतिपूर्ण		शांतिपूर्ण			शांतिपूर्ण
है		है			है
।		।			।
लेकिन		लेकिन			लेकिन
एहतियात		एहतियात			एहतियात
के		के			का
तौर		तौर			तौर
पर		पर			पर
सुरक्षा		सुरक्षा			सुरक्षा
बलों		बल			बल
को		को			को
सतर्क		सतर्क			सतर्क
कर		कर			कर
दिया		दे			दे
गया		जा			जा
है		है			है
।		।			।
केंद्र		केंद्र			केंद्र
ने		ने			ने
बृहस्पतिवार		बृहस्पतिवार			बृहस्पतिवार
को		को			को
नौकरशाही		नौकरशाही			नौकरशाही
में		में			में
खाली		खाली			खाली
पड़े		पड़			पड़
कई		कई			कई
पदों		पद			पद
पर		पर			पर
नियुक्तियाँ		नियुक्ति			नियुक्ति
कीं		कर			का
।		।			।
जिसके		जो			जो
तहत		तहत			तहत
वजाहत		वजाहत			वजाहत
हबीबुल्ला		हबीबुल्ला			हबीबुल्ला
को		को			को
नया		नया			नया
केंद्रीय		केंद्रीय			केंद्रीय
कपड़ा		कपडा			कपडा
सचिव		सचिव			सचिव
नियुक्त		नियुक्त			नियुक्त
किया		कर			कर
गया		जा			जा
है		है			है
।		।			।
1968		1968			1UUU
बैच		बैच			बैच
के		का			का
आईएएस		आईएएस			आईएएस
अधिकारी		अधिकारी			अधिकारी
और		और			और
किसी		कोई			कोई
समय		समय			समय
पूर्व		पूर्व			पूर्व
प्रधानमंत्री		प्रधानमंत्री			प्रधानमंत्री
राजीव		राजीव			राजीव
गाँधी		गाँधी			गाँधी
के		का			का
सहपाठी		सहपाठी			सहपाठी
रहे		रह			रह
हबीबुल्ला		हबीबुल्ला			हबीबुल्ला
दीपक		दीपक			दीपक
चटर्जी		चटर्जी			चटर्जी
से		से			से
कार्यभार		कार्यभार			कार्यभार
संभालेंगे		संभाल			संभाल
।		।			।
चटर्जी		चटर्जी			चटर्जी
अभी		अभी			अभी
तक		तक			तक
अतिरिक्त		अतिरिक्त			अतिरिक्त
कार्यभार		कार्यभार			कार्यभार
संभाले		संभाल			संभाला
हुए		हो			हो
थे		था			था
।		।			।
चटर्जी		चटर्जी			चटर्जी
इस		यह			यह
समय		समय			समय
केंद्रीय		केंद्रीय			केंद्रीय
वाणिज्य		वाणिज्य			वाणिज्य
सचिव		सचिव			सचिव
हैं		है			है
।		।			।
31		31			31
जुलाई		जुलाई			जुलाई
को		को			को
सेवा		सेवा			सेवा
-		-			-
निवृत्त		निवृत्त			निवृत्त
हो		हो			हो
रहे		रह			रह
पर्यटक		पर्यटक			पर्यटक
सचिव		सचिव			सचिव
राठी		राठी			राठी
विनय		विनय			विनय
झा		झा			झा
के		का			का
स्थान		स्थान			स्थान
पर		पर			पर
1968		1968			1UUU
बैच		बैच			बैच
की		का			का
आईएएस		आईएएस			आईएएस
अधिकारी		अधिकारी			अधिकारी
उमा		उमा			उमा
पिल्लै		पिल्लै			पिल्लै
पदभार		पदभार			पदभार
संभालेंगीं		संभाल			संभाल
।		।			।
इस		यह			यह
समय		समय			समय
इस्लामाबाद		इस्लामाबाद			इस्लामाबाद
में		में			में
जल		जल			जल
मसले		मसला			मसला
पर		पर			पर
पाकिस्तान		पाकिस्तान			पाकिस्तान
से		से			से
बात		बात			बात
कर		कर			कर
रहे		रह			रह
जल		जल			जल
संसाधान		संसाधान			संसाधान
सचिव		सचिव			सचिव
वी.		वी.			वी.
के.		के.			के.
दुग्गल		दुग्गल			दुग्गल
को		को			को
पलत		पलत			पलत
मोहनदास		मोहनदास			मोहनदास
के		का			का
स्थान		स्थान			स्थान
पर		पर			पर
पेय		पेय			पेय
-		-			-
जल		जल			जल
आपूर्ति		आपूर्ति			आपूर्ति
का		का			का
अतिरिक्त		अतिरिक्त			अतिरिक्त
कार्यभार		कार्यभार			कार्यभार
संभालने		संभाल			संभाल
के		के			का
लिए		लिए			लिए
कहा		कह			कह
गया		जा			जा
है		है			है
।		।			।
मोहनदास		मोहनदास			मोहनदास
को		को			को
आयुर्वेद		आयुर्वेद			आयुर्वेद
,		COMMA			UNNNNNNNNNNNNNNNNN
योग		योग			योग
,		COMMA			UNNNNNNNNNNNNNNNNN
यूनानी		यूनानी			यूनानी
,		COMMA			UNNNNNNNNNNNNNNNNN
सिद्ध		सिद्ध			सिद्ध
और		और			और
होम्योपैथी		होम्योपैथी			होम्योपैथी
विभाग		विभाग			विभाग
में		में			में
शेखर		शेखर			शेखर
दत्त		दत्त			दत्त
के		का			का
स्थान		स्थान			स्थान
पर		पर			पर
सचिव		सचिव			सचिव
नियुक्त		नियुक्त			नियुक्त
किया		कर			कर
गया		जा			जा
है		है			है
।		।			।
जबकि		जबकि			जबकि
शेखर		शेखर			शेखर
दत्त		दत्त			दत्त
को		को			को
रक्षा		रक्षा			रक्षा
उत्पादन		उत्पादन			उत्पादन
और		और			और
आपूर्ति		आपूर्ति			आपूर्ति
विभाग		विभाग			विभाग
का		का			का
नया		नया			नया
सचिव		सचिव			सचिव
बनाया		बना			बना
गया		जा			जा
है		है			है
।		।			।
केंद्रीय		केंद्रीय			केंद्रीय
गृह		गृह			गृह
मंत्रालय		मंत्रालय			मंत्रालय
में		में			में
विशेष		विशेष			विशेष
सचिव		सचिव			सचिव
(		(			(
जम्मू		जम्मू			जम्मू
-		-			-
कश्मीर		कश्मीर			कश्मीर
)		)			)
बी.		बी.			बी.
बी.		बी.			बी.
मिश्रा		मिश्रा			मिश्रा
को		को			को
उड़ीसा		उड़ीसा			उड़ीसा
पुलिस		पुलिस			पुलिस
का		का			का
महानिदेशक		महानिदेशक			महानिदेशक
नियुक्त		नियुक्त			नियुक्त
किया		कर			कर
गया		जा			जा
है		है			है
।		।			।
आधिकारिक		आधिकारिक			आधिकारिक
सूत्रों		सूत्र			सूत्र
ने		ने			ने
बताया		बता			बता
कि		कि			कि
इंटेलीजेंस		इंटेलीजेंस			इंटेलीजेंस
ब्यूरो		ब्यूरो			ब्यूरो
और		और			और
रिसर्च		रिसर्च			रिसर्च
एंड		एंड			एंड
एनालिसिस		एनालिसिस			एनालिसिस
विंग		विंग			विंग
(		(			(
रॉ		रॉ			रॉ
)		)			)
में		में			में
भी		भी			भी
व्यापक		व्यापक			व्यापक
फेर		फेर			फेर
-		-			-
बदल		बदल			बदल
होने		हो			हो
की		का			का
उम्मीद		उम्मीद			उम्मीद
है		है			है
।		।			।
महाराष्ट्र		महाराष्ट्र			महाराष्ट्र
से		से			से
1968		1968			1UUU
बैच		बैच			बैच
के		का			का
आईपीएस		आईपीएस			आईपीएस
अधिकारी		अधिकारी			अधिकारी
सुधीर		सुधीर			सुधीर
कुमार		कुमार			कुमार
को		को			को
कैबिनेट		कैबिनेट			कैबिनेट
सचिवालय		सचिवालय			सचिवालय
में		में			में
सचिव		सचिव			सचिव
(		(			(
सुरक्षा		सुरक्षा			सुरक्षा
)		)			)
नियुक्त		नियुक्त			नियुक्त
किया		कर			कर
गया		जा			जा
है		है			है
।		।			।
केंद्र		केंद्र			केंद्र
ने		ने			ने
वरिष्ठ		वरिष्ठ			वरिष्ठ
वकील		वकील			वकील
आर.		आर.			आर.
मोहन		मोहन			मोहन
,		COMMA			UNNNNNNNNNNNNNNNNN
मोहन		मोहन			मोहन
परासरण		परासरण			परासरण
,		COMMA			UNNNNNNNNNNNNNNNNN
के.		के.			के.
पी.		पी.			पी.
पाठक		पाठक			पाठक
और		और			और
बी.		बी.			बी.
ए.		ए.			ए.
देसाई		देसाई			देसाई
को		को			को
एडिशनल		एडिशनल			एडिशनल
सॉलिसिटर		सॉलिसिटर			सॉलिसिटर
जनरल		जनरल			जनरल
(		(			(
एएसजी		एएसजी			एएसजी
)		)			)
पदों		पद			पद
पर		पर			पर
नियुक्त		नियुक्त			नियुक्त
किया		कर			कर
है		है			है
।		।			।
जो		जो			जो
कोर्ट		कोर्ट			कोर्ट
में		में			में
चल		चल			चल
रहे		रह			रह
विभिन्न		विभिन्न			विभिन्न
मामलों		मामला			मामला
में		में			में
सरकार		सरकार			सरकार
की		का			का
ओर		ओर			ओर
से		से			से
पेश		पेश			पेश
होंगे		हो			हो
।		।			।
मोहन		मोहन			मोहन
,		COMMA			UNNNNNNNNNNNNNNNNN
परासरण		परासरण			परासरण
और		और			और
पाठक		पाठक			पाठक
को		को			को
सुप्रीम		सुप्रीम			सुप्रीम
कोर्ट		कोर्ट			कोर्ट
में		में			में
एएसजी		एएसजी			एएसजी
बनाया		बना			बना
गया		जा			जा
है		है			है
तो		तो			तो
देसाई		देसाई			देसाई
को		को			को
मुंबई		मुंबई			मुंबई
हाईकोर्ट		हाईकोर्ट			हाईकोर्ट
में		में			में
।		।			।
हाल		हाल			हाल
के		का			का
फ्लॉप		फ्लॉप			फ्लॉप
प्रदर्शन		प्रदर्शन			प्रदर्शन
पर		पर			पर
कड़ी		कड़ा			कड़ा
आलोचनाओं		आलोचना			आलोचना
का		का			का
निशाना		निशाना			निशाना
बन		बन			बन
रहे		रह			रह
सचिन		सचिन			सचिन
तेंदुलकर		तेंदुलकर			तेंदुलकर
को		को			को
एक		एक			एक
सुरीली		सुरीला			सुरीली
आवाज		आवाज			आवाज
ने		ने			ने
सहारा		सहारा			सहारा
दिया		दे			दे
है		है			है
।		।			।
यह		यह			यह
आवाज		आवाज			आवाज
है		है			है
सुर		सुर			सुर
साम्राज्ञी		साम्राज्ञी			साम्राज्ञी
लता		लता			लता
मंगेशकर		मंगेशकर			मंगेश
की		का			का
।		।			।
लता		लता			लता
ने		ने			ने
सचिन		सचिन			सचिन
के		के			का
लिए		लिए			लिए
तान		तान			तान
छेड़ी		छेड़			छेड़
कि		कि			कि
टेस्ट		टेस्ट			टेस्ट
में		में			में
सबसे		सबसे			सबसे
ज्यादा		ज्यादा			ज्यादा
शतक		शतक			शतक
ठोंकने		ठोंक			ठोँकना
वाले		वाला			वाला
मास्टर		मास्टर			मास्टर
-		-			-
ब्लास्टर		ब्लास्टर			ब्लास्टर
की		का			का
धमाकेदार		धमाकेदार			धमाकेदार
वापसी		वापसी			वापसी
होगी		हो			हो
।		।			।
इस		यह			यह
आवाज		आवाज			आवाज
के		का			का
इस		यह			यह
आह्वान		आह्वान			आह्वान
पर		पर			पर
सचिन		सचिन			सचिन
का		का			का
आत्मविश्वास		आत्मविश्वास			आत्मविश्वास
से		से			से
लबरेज		लबरेज			लबरेज
होना		हो			हो
लाजमी		लाजमी			लाजमी
था		था			था
।		।			।
उन्होंने		वह			वह
कहा		कह			कह
कि		कि			कि
जल्दी		जल्दी			जल्दी
ही		ही			ही
वह		वह			वह
'		SINGLE_QUOTE			UUUUUUUUUUUUUUUUUU
एक्शन		एक्शन			एक्शन
'		SINGLE_QUOTE			UUUUUUUUUUUUUUUUUU
में		में			में
लौटेंगे		लौट			लौट
।		।			।
कंधे		कंधा			कंधा
के		का			का
ऑपरेशन		ऑपरेशन			ऑपरेशन
के		के			का
बारे		बारे			बारे
में		में			में
उन्होंने		वह			वह
कहा		कह			कह
कि		कि			कि
यह		यह			यह
तकलीफ		तकलीफ			तकलीफ
इतनी		इतना			इतना
बढ़		बढ़			बढ़
गई		जा			जा
कि		कि			कि
ऑपरेशन		ऑपरेशन			ऑपरेशन
की		का			का
जरूरत		जरूरत			जरूरत
पड़		पड़			पड
गई		जा			जा
।		।			।
सौभाग्य		सौभाग्य			सौभाग्य
से		से			से
उन्हें		वह			वह
स्वास्थ्य		स्वास्थ्य			स्वास्थ्य
लाभ		लाभ			लाभ
प्राप्त		प्राप्त			प्राप्त
करने		कर			कर
में		में			में
ज्यादा		ज्यादा			ज्यादा
वक्त		वक्त			वक्त
नहीं		नहीं			नहीं
लगेगा		लग			लग
।		।			।
तेंदुलकर		तेंदुलकर			तेंदुलकर
को		को			को
अपने		अपना			अपना
बाएं		बायां			बाएं
कंधे		कंधा			कंधा
के		का			का
ऑपरेशन		ऑपरेशन			ऑपरेशन
के		के			का
लिए		लिए			लिए
शनिवार		शनिवार			शनिवार
को		को			को
लंदन		लंदन			लंदन
के		के			का
लिए		लिए			लिए
रवाना		रवाना			रवाना
होना		हो			हो
है		है			है
।		।			।
डॉ.		डॉ.			डॉ.
एंड्रयू		एंड्रयू			एंड्रयू
वैलेस		वैलेस			वैलेस
ही		ही			ही
यह		यह			यह
ऑपरेशन		ऑपरेशन			ऑपरेशन
करेंगे		कर			कर
जिन्होंने		जो			जो
सचिन		सचिन			सचिन
की		का			का
टेनिस		टेनिस			टेनिस
एल्बो		एल्बो			एल्बो
का		का			का
ऑपरेशन		ऑपरेशन			ऑपरेशन
किया		कर			कर
था		था			था
।		।			।
विशेष		विशेष			विशेष
सम्मान		सम्मान			सम्मान
ग्रहण		ग्रहण			ग्रहण
करने		कर			कर
पर		पर			पर
भावुक		भावुक			भावुक
तेंदुलकर		तेंदुलकर			तेंदुलकर
ने		ने			ने
कहा		कह			कह
कि		कि			कि
वह		वह			वह
नहीं		नहीं			नहीं
जानते		जान			जान
कि		कि			कि
वह		वह			वह
तारीफ		तारीफ			तारीफ
के		का			का
लायक		लायक			लायक
हैं		है			है
या		या			या
नहीं		नहीं			नहीं
।		।			।
लेकिन		लेकिन			लेकिन
इतनी		इतना			इतना
तारीफ		तारीफ			तारीफ
से		से			से
उनकी		वह			वह
आंखें		आंख			आंख
नम		नम			नम
हो		हो			हो
गई		जा			जा
हैं		है			है
।		।			।
अपने		अपना			अपना
बचपन		बचपन			बचपन
के		का			का
दिनों		दिन			दिन
को		को			को
याद		याद			याद
करते		कर			कर
हुए		हो			हो
उन्होंने		वह			वह
कहा		कह			कह
कि		कि			कि
वह		वह			वह
अपने		अपना			अपना
परिजनों		परिजन			परिजन
,		COMMA			UNNNNNNNNNNNNNNNNN
कोच		कोच			कोच
रमाकांत		रमाकांत			रमाकांत
अचरेकर		अचरेकर			अचरेक
और		और			और
उनका		वह			वह
साथ		साथ			साथ
देने		दे			दे
वाले		वाला			वाला
मित्रों		मित्र			मित्र
के		का			का
समर्थन		समर्थन			समर्थन
के		के			का
बगैर		बगैर			बगैर
